entry,class,source,form,title,location,published,corrected,note,claim_ids
1,quantity,pipeline,brief,Three imputation probabilities carried as their complements,"published, appendix Table B.2","[[three imputation probabilities in appendix Table B.2, each one minus the probability the appendix C entry for that case states]]",[[the probabilities appendix C states]],"In all three the deposit contradicts itself, because an imputed potential outcome of 1 sits beside a probability below one half. Appendix Table B.2 prints the deposited value, so the published table inherits the transcription error rather than committing a second one. Section C.2.7 reads ""we imputed that $\tilde{Y}_i(0) = 1$, with a probability of 0.8"" for South Africa, and the main text says the same thing on page 10: ""In other words, $Y_i(0) = 1$ with a probability of .8."" Sections C.4.12 and C.4.13 read ""with a probability of 0.7.""",
2,quantity,pipeline,brief,Four imputation probabilities differing by one step,"published, appendix Table B.2","[[four imputation probabilities in appendix Table B.2, each differing from the probability appendix C states by 0.1]]",[[the probabilities appendix C states]],"Uruguay is the one of the four that matters beyond the table: at the deposited 1 it is an imputation made with certainty, and at the 0.9 appendix C states it is a probabilistic one. That is what entry 6 below turns on.",
3,quantity,pipeline,full,The average treatment effect on the treated,"published, *Imputing Missing Potential Outcomes*, Summary","The bounds on the ATU are greater than 58 points wide, compared with the bounds on the ATT, which shrink all the way down to a point. We can summarize the ATT as a [[-15]] percentage point effect on return to authoritarianism.","The bounds on the ATU are greater than 58 points wide, compared with the bounds on the ATT, which shrink all the way down to a point. We can summarize the ATT as a [[-22.5]] percentage point effect on return to authoritarianism.","Every treated case has both potential outcomes filled in by the second imputation step, which is why the ATT bounds collapse to a point, and that point is the mean of the eight observed treated outcomes minus the mean of the eight imputed untreated ones. South Africa is one of the eight, so restoring its probability from 0.2 to the 0.8 appendix C states moves the ATT by 7.5 points. The -22.5 is exact and not a draw: with both potential outcomes of all eight treated cases imputed, the bound is a fixed function of the imputation probabilities, and this is its value. It falls exactly halfway between two whole numbers, so a whole-number restatement of the sentence would not be determined, which is a further reason to correct it at one decimal as this document corrects every percentage-point quantity. The ATU claim in the first clause is unaffected and is left at the precision the article states it: the width is 58.2 points before the correction and after it, because both ATU bounds move by the same amount, so the published ""greater than 58"" holds exactly as written and is not restated at one decimal here.",text|att_summarised_as_a_point_effect
4,float,pipeline,brief,"Figure 3, the bounds by treatment status","published, Figure 3","[[Figure 3's ATT bounds from *Treated Cases* onward, and its ATU bounds at *Untreated Cases* and *Unimputable Cases*]]",[[the same bounds with the appendix C probabilities restored]],,figure_3|low_bound_att_treated_cases;figure_3|high_bound_att_treated_cases;figure_3|low_bound_att_non_transitional_cases;figure_3|high_bound_att_non_transitional_cases;figure_3|low_bound_att_untreated_cases;figure_3|high_bound_att_untreated_cases;figure_3|low_bound_att_unimputable_cases;figure_3|high_bound_att_unimputable_cases;figure_3|low_bound_atu_untreated_cases;figure_3|high_bound_atu_untreated_cases;figure_3|low_bound_atu_unimputable_cases;figure_3|high_bound_atu_unimputable_cases
5,float,pipeline,brief,"Figure 2, the bounds on the average treatment effect","published, Figure 2",[[two of Figure 2's seven step labels]],[[the same bounds with the appendix C probabilities restored]],,figure_2|low_bound_treated_cases;figure_2|high_bound_treated_cases;figure_2|low_bound_non_transitional_cases;figure_2|high_bound_non_transitional_cases
6,quantity,pipeline,full,How the 63 missing potential outcomes were imputed,"published, *Imputing Missing Potential Outcomes*","For all 63 unobserved potential outcomes, we imputed [[5]] with certainty, [[26]] probabilistically and we left 32 unimputed.","For all 63 unobserved potential outcomes, we imputed [[3]] with certainty, [[28]] probabilistically and we left 32 unimputed.","An imputation is made with certainty when the stated probability that the missing potential outcome equals 1 is exactly 0 or exactly 1. Three cases qualify: Brazil (1964-1985) at 0 and the two Thailand transitions at 1. The deposit adds a fourth, Uruguay (1973-1984), which it carries at 1 where appendix C entry C.3.6 states 0.9. The number left unimputed, and the 31 imputed in total, are unaffected either way.",text|unobserved_potential_outcomes_imputed_with_certainty;text|unobserved_potential_outcomes_imputed_probabilistically
7,quantity,pipeline,full,The toy example's treated outcomes,"published, *A Toy Example*",The outcome for [[three]] of the treated units and one of the untreated units is 1; the outcome is equal to 0 for the remaining units.,The outcome for [[four]] of the treated units and one of the untreated units is 1; the outcome is equal to 0 for the remaining units.,"Table 3, reprinted below, shows four treated units with an observed outcome of 1, and the deposited code that builds the example encodes four. Four is also what the [-40, 60] initial bounds two sentences later require; three would give [-50, 50].",text|toy_example_treated_units_with_outcome_1
8,quantity,pipeline,full,The probabilistic extension's stated probabilities,"published, *Probabilistic Extension*","Instead of being sure that the untreated potential outcomes for units 6 and 7 are 0, we think the probabilities of being a `1' for units 6 and 7 are [[.3 and .4]], respectively ($k = 2$).","Instead of being sure that the untreated potential outcomes for units 6 and 7 are 0, we think the probabilities of being a `1' for units 6 and 7 are [[0.2 and 0.3]], respectively ($k = 2$).","The four scenario probabilities Table 4 prints are the product distribution of 0.2 and 0.3, and the deposited code uses those two values. At 0.3 and 0.4 the four probabilities would read 0.42, 0.18, 0.28 and 0.12 rather than the published 0.56, 0.14, 0.24 and 0.06.",table_4|probability_that_unit_6_has_y0_1;table_4|probability_that_unit_7_has_y0_1
9,quantity,pipeline,full,The end-of-conflict bounds width,"published, Appendix A",The incorporation of qualitative beliefs about counterfactuals shrinks the width of the extreme value bounds from 100 to [[41]] points.,The incorporation of qualitative beliefs about counterfactuals shrinks the width of the extreme value bounds from 100.0 to [[44.4]] points.,"The next clause of the same sentence calls the resulting bounds 45 points wide, which is the difference of the rounded endpoints [-3, 42]. Rounding the width itself gives 44 instead, so 44 and 45 are the two whole numbers one exact quantity yields depending on where the rounding is applied, and both are defensible. 41 corresponds to nothing in the analysis. No end-of-conflict quantity is touched by the appendix C corrections, all seven of which are democratization cases.",appendix_a|bounds_width_after_imputation
10,quantity,pipeline,full,The count of disbanded and discredited democratization cases,"published, *Imputing Missing Potential Outcomes*, Step 1","The observed outcome $Y_i(0)$ in each of these [[four]] cases was 0, as authoritarianism did not resume within 10 years of transition.","The observed outcome $Y_i(0)$ in each of these [[two]] cases was 0, as authoritarianism did not resume within 10 years of transition.","The sentence before it names two cases, Bolivia and the Philippines, and appendix Table B.2 lists two at this step. Appendix Table B.1 lists four end-of-conflict cases at the same step, which is where the count appears to have come from.",text|disbanded_and_discredited_democratization_cases
