claim_id,location,claim_type,value_paper,in_ground_truth,in_claims_script
table_3|column_d,Table 3,pipeline,"1,1,1,1,1,1,1,0,0,0",TRUE,TRUE
table_3|column_y,Table 3,pipeline,"1,1,1,1,0,0,0,1,0,0",TRUE,TRUE
table_3|column_y0_initial,Table 3,pipeline,"?,?,?,?,?,?,?,1,0,0",TRUE,TRUE
table_3|column_y1_initial,Table 3,pipeline,"1,1,1,1,0,0,0,?,?,?",TRUE,TRUE
table_3|column_y0_easy,Table 3,pipeline,"1,1,?,?,0,?,?,1,0,0",TRUE,TRUE
table_3|column_y1_easy,Table 3,pipeline,"1,1,1,1,0,0,0,1,0,?",TRUE,TRUE
table_3|column_y0_nulls,Table 3,pipeline,"1,1,?,?,0,0,0,1,0,0",TRUE,TRUE
table_3|column_y1_nulls,Table 3,pipeline,"1,1,1,1,0,0,0,1,0,?",TRUE,TRUE
table_3|column_y0_hard,Table 3,pipeline,"1,1,0,0,0,0,0,1,0,0",TRUE,TRUE
table_3|column_y1_hard,Table 3,pipeline,"1,1,1,1,0,0,0,1,0,?",TRUE,TRUE
table_3|ev_bounds_low_initial_values,Table 3,pipeline,-40,TRUE,TRUE
table_3|ev_bounds_high_initial_values,Table 3,pipeline,60,TRUE,TRUE
table_3|ev_bounds_low_easy_cases,Table 3,pipeline,-20,TRUE,TRUE
table_3|ev_bounds_high_easy_cases,Table 3,pipeline,30,TRUE,TRUE
table_3|ev_bounds_low_nulls_for_6_7,Table 3,pipeline,0,TRUE,TRUE
table_3|ev_bounds_high_nulls_for_6_7,Table 3,pipeline,30,TRUE,TRUE
table_3|ev_bounds_low_hard_cases,Table 3,pipeline,20,TRUE,TRUE
table_3|ev_bounds_high_hard_cases,Table 3,pipeline,30,TRUE,TRUE
figure_1|low_bound_before_any_data,Figure 1,pipeline,-100,TRUE,TRUE
figure_1|high_bound_before_any_data,Figure 1,pipeline,100,TRUE,TRUE
figure_1|low_bound_initial_values,Figure 1,pipeline,-40,TRUE,TRUE
figure_1|high_bound_initial_values,Figure 1,pipeline,60,TRUE,TRUE
