claim_id,location,claim_type,value_paper
table_3|column_d,Table 3,pipeline,"1,1,1,1,1,1,1,0,0,0"
table_3|column_y,Table 3,pipeline,"1,1,1,1,0,0,0,1,0,0"
table_3|column_y0_initial,Table 3,pipeline,"?,?,?,?,?,?,?,1,0,0"
table_3|column_y1_initial,Table 3,pipeline,"1,1,1,1,0,0,0,?,?,?"
table_3|column_y0_easy,Table 3,pipeline,"1,1,?,?,0,?,?,1,0,0"
table_3|column_y1_easy,Table 3,pipeline,"1,1,1,1,0,0,0,1,0,?"
table_3|column_y0_nulls,Table 3,pipeline,"1,1,?,?,0,0,0,1,0,0"
table_3|column_y1_nulls,Table 3,pipeline,"1,1,1,1,0,0,0,1,0,?"
table_3|column_y0_hard,Table 3,pipeline,"1,1,0,0,0,0,0,1,0,0"
table_3|column_y1_hard,Table 3,pipeline,"1,1,1,1,0,0,0,1,0,?"
table_3|ev_bounds_low_initial_values,Table 3,pipeline,-40
table_3|ev_bounds_high_initial_values,Table 3,pipeline,60
table_3|ev_bounds_low_easy_cases,Table 3,pipeline,-20
table_3|ev_bounds_high_easy_cases,Table 3,pipeline,30
table_3|ev_bounds_low_nulls_for_6_7,Table 3,pipeline,0
table_3|ev_bounds_high_nulls_for_6_7,Table 3,pipeline,30
table_3|ev_bounds_low_hard_cases,Table 3,pipeline,20
table_3|ev_bounds_high_hard_cases,Table 3,pipeline,30
figure_1|low_bound_before_any_data,Figure 1,pipeline,-100
figure_1|high_bound_before_any_data,Figure 1,pipeline,100
figure_1|low_bound_initial_values,Figure 1,pipeline,-40
figure_1|high_bound_initial_values,Figure 1,pipeline,60
figure_1|low_bound_easy_cases,Figure 1,pipeline,-20
figure_1|high_bound_easy_cases,Figure 1,pipeline,30
figure_1|low_bound_nulls_for_6_7,Figure 1,pipeline,0
figure_1|high_bound_nulls_for_6_7,Figure 1,pipeline,30
figure_1|low_bound_hard_cases,Figure 1,pipeline,20
figure_1|high_bound_hard_cases,Figure 1,pipeline,30
table_4|ev_bounds_low_unit_6_0_unit_7_0,Table 4,pipeline,0
table_4|ev_bounds_high_unit_6_0_unit_7_0,Table 4,pipeline,30
table_4|probability_unit_6_0_unit_7_0,Table 4,pipeline,0.56
table_4|ev_bounds_low_unit_6_1_unit_7_0,Table 4,pipeline,-10
table_4|ev_bounds_high_unit_6_1_unit_7_0,Table 4,pipeline,20
table_4|probability_unit_6_1_unit_7_0,Table 4,pipeline,0.14
table_4|ev_bounds_low_unit_6_0_unit_7_1,Table 4,pipeline,-10
table_4|ev_bounds_high_unit_6_0_unit_7_1,Table 4,pipeline,20
table_4|probability_unit_6_0_unit_7_1,Table 4,pipeline,0.24
