step,transition_fac,estimate_low_est,estimate_high_est,conf_low_low_est,conf_high_low_est,conf_low_high_est,conf_high_high_est,description
agnostic,Democratization,-100,100,-100,-100,100,100,Before Any Data
obs,Democratization,-25.396825396825395,74.60317460317461,-25.396825396825395,-25.396825396825395,74.60317460317461,74.60317460317461,Initial Values
s0,Democratization,-25.07936507936508,71.74603174603176,-25.396825396825395,-23.809523809523807,71.42857142857143,73.01587301587301,Disbanded and Discredited Cases
s1,Democratization,-16.825396825396826,67.3015873015873,-20.634920634920633,-14.285714285714285,63.49206349206349,69.84126984126983,Treated Cases
s2,Democratization,-13.174603174603181,61.428571428571466,-17.46031746031746,-9.523809523809524,57.14285714285714,65.07936507936508,Non-transitional Cases
s3,Democratization,-1.5873015873015877,49.20634920634922,-7.936507936507936,4.761904761904762,42.857142857142854,55.55555555555556,Untreated Cases
s4,Democratization,-1.5873015873015877,49.20634920634922,-7.936507936507936,4.761904761904762,42.857142857142854,55.55555555555556,Unimputable Cases
agnostic,End of conflict,-100,100,-100,-100,100,100,Before Any Data
obs,End of conflict,-33.33333333333333,66.66666666666666,-33.33333333333333,-33.33333333333333,66.66666666666666,66.66666666666666,Initial Values
s0,End of conflict,-31.851851851851848,60.740740740740726,-33.33333333333333,-29.629629629629626,59.25925925925925,62.96296296296296,Disbanded and Discredited Cases
s1,End of conflict,-25.55555555555556,55.92592592592594,-29.629629629629626,-22.22222222222222,51.85185185185185,59.25925925925925,Treated Cases
s2,End of conflict,-23.88888888888889,53.888888888888886,-27.77777777777778,-18.51851851851852,50,59.25925925925925,Non-transitional Cases
s3,End of conflict,-2.7777777777777763,41.666666666666686,-11.11111111111111,5.555555555555555,33.33333333333333,50,Untreated Cases
s4,End of conflict,-2.7777777777777763,41.666666666666686,-11.11111111111111,5.555555555555555,33.33333333333333,50,Unimputable Cases
