table,step,case,d,Y,observed,imputed_y0,imputed_y1,probability,tau,switching_holds
B.1,Untreated Cases,Angola (1975-1995),0,1,1,1,1,0.6,0,TRUE
B.1,Untreated Cases,Angola (1998-2002),0,0,0,0,1,0.8,1,TRUE
B.1,Untreated Cases,Bangladesh (1975-1997),0,0,0,0,1,0.7,1,TRUE
B.1,Untreated Cases,Bosnia-Herzegovina (1992-1995),0,0,0,0,0,0.2,0,TRUE
B.1,Untreated Cases,Bosnia-Herzegovina (1993-1994),0,0,0,0,0,0.3,0,TRUE
B.1,Non-transitional Cases,Burundi (1991-2008),0,0,0,0,1,0.8,1,TRUE
B.1,Untreated Cases,Cambodia (Kampuchea) (1979-1998),0,0,0,0,0,0.3,0,TRUE
B.1,Unimputable Cases,Congo (Brazzaville) (1993-2002),0,0,0,0,?,NA,?,TRUE
B.1,Treated Cases,El Salvador - FMLN (1979-1991),1,0,0,0,0,0.2,0,TRUE
B.1,Unimputable Cases,Ethiopia (1976-1983),0,1,1,1,?,NA,?,TRUE
B.1,Unimputable Cases,Ethiopia (1976-1991),0,0,0,0,?,NA,?,TRUE
B.1,Unimputable Cases,Georgia (1992-1993),0,1,1,1,?,NA,?,TRUE
B.1,Unimputable Cases,Guinea (2000-2001),0,0,0,0,?,NA,?,TRUE
B.1,Untreated Cases,India - Assam (1983-1990),0,1,1,1,1,0.9,0,TRUE
B.1,Untreated Cases,India - Manipur (1982-1988),0,1,1,1,1,0.9,0,TRUE
B.1,Untreated Cases,India - Nagaland (1992-1997),0,1,1,1,1,0.7,0,TRUE
B.1,Untreated Cases,India - Punjab (1983-1993),0,0,0,0,0,0.1,0,TRUE
B.1,Unimputable Cases,Indonesia - Aceh (1990-1991),0,1,1,1,?,NA,?,TRUE
B.1,Unimputable Cases,Indonesia - Aceh (1999-2005),0,0,0,0,?,NA,?,TRUE
B.1,Unimputable Cases,Indonesia - ELF (1965-1984),0,0,0,0,?,NA,?,TRUE
B.1,Treated Cases,Indonesia - East Timor (1997-1999),1,0,0,0,0,0.3,0,TRUE
B.1,Unimputable Cases,Iran (1946-1996),0,0,0,0,?,NA,?,TRUE
B.1,Unimputable Cases,Iraq (1961-1996),0,0,0,0,?,NA,?,TRUE
B.1,Unimputable Cases,Iraq (1982-1996),0,1,1,1,?,NA,?,TRUE
B.1,Unimputable Cases,Israel (1990-1999),0,1,1,1,?,NA,?,TRUE
B.1,Unimputable Cases,Israel (2006-2006),0,0,0,0,?,NA,?,TRUE
B.1,Unimputable Cases,Laos (1959-1990),0,0,0,0,?,NA,?,TRUE
B.1,Unimputable Cases,Lebanon (1958-1990),0,0,0,0,?,NA,?,TRUE
B.1,Untreated Cases,Liberia (1989-1990),0,1,1,1,1,0.9,0,TRUE
B.1,Treated Cases,Liberia (2000-2003),1,0,0,0,0,0.1,0,TRUE
B.1,Unimputable Cases,Morocco (1975-1989),0,0,0,0,?,NA,?,TRUE
B.1,Unimputable Cases,Mozambique (1977-1992),0,0,0,0,?,NA,?,TRUE
B.1,Untreated Cases,Myanmar (Burma) - Arakan (1948-1994),0,0,0,0,1,0.8,1,TRUE
B.1,Untreated Cases,Myanmar (Burma) - Kachin (1961-1992),0,0,0,0,1,0.8,1,TRUE
B.1,Disbanded and Discredited Cases,Nepal - CPN-M (1966-2006),0,0,0,0,0,0.1,0,TRUE
B.1,Untreated Cases,Nicaragua (1982-1990),0,0,0,0,1,0.9,1,TRUE
B.1,Unimputable Cases,Pakistan (1990-1996),0,0,0,0,?,NA,?,TRUE
B.1,Treated Cases,Peru - Shining Path (1982-1999),1,1,1,1,1,0.9,0,TRUE
B.1,Unimputable Cases,Rwanda (1990-2002),0,1,1,1,?,NA,?,TRUE
B.1,Unimputable Cases,Senegal (1988-2003),0,1,1,1,?,NA,?,TRUE
B.1,Disbanded and Discredited Cases,Serbia (Federal Republic of Yugoslavia) (1998-1999),0,0,0,0,0,0.3,0,TRUE
B.1,Disbanded and Discredited Cases,Serbia (Yugoslavia) - Croatia (1991-1991),0,0,0,0,0,0.3,0,TRUE
B.1,Treated Cases,Sierra Leone (1991-2001),1,0,0,0,0,0.2,0,TRUE
B.1,Untreated Cases,South Africa - Namibia (1966-1988),0,0,0,0,0,0.8,0,TRUE
B.1,Non-transitional Cases,Sri Lanka - JVP (1971-1990),0,0,0,0,0,0.1,0,TRUE
B.1,Disbanded and Discredited Cases,Sri Lanka - LTTE (1984-2009),0,0,0,0,0,0.1,0,TRUE
B.1,Unimputable Cases,Syria (1979-1982),0,0,0,0,?,NA,?,TRUE
B.1,Unimputable Cases,Tajikistan (1992-1999),0,1,1,1,?,NA,?,TRUE
B.1,Untreated Cases,Thailand (1974-1982),0,0,0,0,1,0.7,1,TRUE
B.1,Treated Cases,Uganda (1962-1986),1,1,1,1,1,0.9,0,TRUE
B.1,Untreated Cases,United Kingdom - Northern Ireland (1998-1998),0,0,0,0,0,0.2,0,TRUE
B.1,Untreated Cases,United Kingdom.- Northern Ireland (1971-1991),0,1,1,1,1,0.8,0,TRUE
B.1,Unimputable Cases,Yemen (North Yemen) (1979-1982),0,0,0,0,?,NA,?,TRUE
B.1,Unimputable Cases,Yemen (North Yemen) (1994-1994),0,0,0,0,?,NA,?,TRUE
