transition_fac,estimand,step,description,expected_lower,expected_upper,simulated_lower,simulated_upper,simulated_se,label_lower,label_upper,on_rounding_boundary
Democratization,ATE,agnostic,Before Any Data,-100,100,-100,100,0,-100,100,FALSE
Democratization,ATE,obs,Initial Values,-25.396825396825395,74.60317460317461,-25.396825396825403,74.6031746031746,0,-25,75,FALSE
Democratization,ATE,s0,Disbanded and Discredited Cases,-25.07936507936508,71.74603174603176,-25.082539682539682,71.74285714285713,0.021295885499998,-25,72,FALSE
Democratization,ATE,s1,Treated Cases,-16.825396825396826,67.3015873015873,-16.858730158730157,67.26825396825397,0.0558946567036794,-17,67,FALSE
Democratization,ATE,s2,Non-transitional Cases,-13.17460317460318,61.428571428571466,-13.184126984126983,61.41904761904762,0.06790237979748392,-13,61,FALSE
Democratization,ATE,s3,Untreated Cases,-1.5873015873015877,49.20634920634922,-1.6412698412698399,49.15238095238095,0.0955022790888338,-2,49,FALSE
Democratization,ATE,s4,Unimputable Cases,-1.5873015873015877,49.20634920634922,-1.6476190476190464,49.146031746031746,0.0955022790888338,-2,49,FALSE
Democratization,ATT,agnostic,Before Any Data,-100,100,-100,100,0,-100,100,FALSE
Democratization,ATT,obs,Initial Values,-87.5,12.5,-87.5,12.5,0,-88,12,TRUE
Democratization,ATT,s0,Disbanded and Discredited Cases,-87.5,12.5,-87.5,12.5,0,-88,12,TRUE
Democratization,ATT,s1,Treated Cases,-22.5,-22.5,-22.44125000000002,-22.44125000000002,0.1286953767623375,-22,-22,TRUE
Democratization,ATT,s2,Non-transitional Cases,-22.5,-22.5,-22.60250000000001,-22.60250000000001,0.1286953767623375,-23,-23,TRUE
Democratization,ATT,s3,Untreated Cases,-22.5,-22.5,-22.167499999999997,-22.167499999999997,0.1286953767623375,-22,-22,TRUE
Democratization,ATT,s4,Unimputable Cases,-22.5,-22.5,-22.380000000000006,-22.380000000000006,0.1286953767623375,-22,-22,TRUE
Democratization,ATU,agnostic,Before Any Data,-100,100,-100,100,0,-100,100,FALSE
Democratization,ATU,obs,Initial Values,-16.363636363636363,83.63636363636363,-16.363636363636367,83.63636363636363,0,-16,84,FALSE
