seed,labels_moved,final_dem_label,dem_att_label
1,1,"[-2, 49]","[-22, -22]"
2,0,"[-2, 49]","[-22, -22]"
3,1,"[-2, 49]","[-22, -22]"
4,1,"[-2, 49]","[-22, -22]"
5,1,"[-2, 49]","[-22, -22]"
6,1,"[-2, 49]","[-23, -23]"
7,0,"[-2, 49]","[-23, -23]"
8,3,"[-1, 49]","[-23, -23]"
9,0,"[-2, 49]","[-22, -22]"
10,0,"[-2, 49]","[-23, -23]"
11,1,"[-2, 49]","[-23, -23]"
12,0,"[-2, 49]","[-23, -23]"
13,3,"[-2, 49]","[-22, -22]"
14,1,"[-2, 49]","[-22, -22]"
15,2,"[-2, 49]","[-23, -23]"
16,2,"[-1, 49]","[-22, -22]"
17,1,"[-2, 49]","[-22, -22]"
18,3,"[-1, 49]","[-23, -23]"
19,0,"[-2, 49]","[-22, -22]"
20,2,"[-2, 49]","[-22, -22]"
