claim,value,label
dem: bounds width before any data,200,200
dem: bounds width once the world reveals half the potential outcomes,100,100
dem: final ATE lower bound,-1.5873015873015877,-2
dem: final ATE upper bound,49.20634920634922,49
dem: final ATE bounds width,50.79365079365081,51
dem: ATU final bounds width,58.181818181818215,58
dem: ATT final lower bound,-22.5,-22.5
dem: ATT final upper bound,-22.5,-22.5
"expert: our bounds width, 20 responding cases",50,50
"expert: expert bounds width, 20 responding cases",29.999999999999996,30
"expert: our bounds width, all 63 cases",50.793650793650784,51
"expert: expert bounds width, all 63 cases",77.77777777777776,78
"expert: combined bounds width, all 63 cases",44.44444444444444,44
dem: cases imputed as a non-zero causal effect,6,6
eoc: bounds width once the world reveals half the potential outcomes,99.99999999999999,100
eoc: final ATE lower bound,-2.7777777777777763,-3
eoc: final ATE upper bound,41.666666666666686,42
eoc: final ATE bounds width,44.444444444444464,44
eoc: ATT final lower bound,-10.000000000000002,-10
eoc: ATT final upper bound,-10.000000000000002,-10
